Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,6.0,5749.03,42.31,2.572,211.0963582,8.106
2010-02-12,1,6.0,9135.0,38.51,2.548,211.2421698,8.106
2010-02-19,0,6.0,6060.26,39.93,2.514,211.2891429,8.106
2010-02-26,0,6.0,5244.56,46.63,2.561,211.3196429,8.106
2010-03-05,0,6.0,4221.25,46.5,2.625,211.3501429,8.106
2010-03-12,0,6.0,5619.0,57.79,2.667,211.3806429,8.106
2010-03-19,0,6.0,4906.05,54.58,2.72,211.215635,8.106
2010-03-26,0,6.0,7468.33,51.45,2.732,211.0180424,8.106
2010-04-02,0,6.0,4132.61,62.27,2.719,210.8204499,7.808
2010-04-09,0,6.0,4428.8,65.86,2.77,210.6228574,7.808
2010-04-16,0,6.0,5020.78,66.32,2.808,210.4887,7.808
2010-04-23,0,6.0,3945.19,64.84,2.795,210.4391228,7.808
2010-04-30,0,6.0,4736.15,67.41,2.78,210.3895456,7.808
2010-05-07,0,6.0,7477.7,72.55,2.835,210.3399684,7.808
2010-05-14,0,6.0,6982.17,74.78,2.854,210.3374261,7.808
2010-05-21,0,6.0,3395.75,76.44,2.826,210.6170934,7.808
2010-05-28,0,6.0,6165.59,80.44,2.759,210.8967606,7.808
2010-06-04,0,6.0,5484.9,80.69,2.705,211.1764278,7.808
2010-06-11,0,6.0,4082.04,80.43,2.668,211.4560951,7.808
2010-06-18,0,6.0,3902.26,84.11,2.637,211.4537719,7.808
2010-06-25,0,6.0,4239.1,84.34,2.653,211.3386526,7.808
2010-07-02,0,6.0,4541.91,80.91,2.669,211.2235333,7.787
2010-07-09,0,6.0,4986.25,80.48,2.642,211.108414,7.787
2010-07-16,0,6.0,4772.7,83.15,2.623,211.1003854,7.787
2010-07-23,0,6.0,5758.04,83.36,2.608,211.2351443,7.787
2010-07-30,0,6.0,3932.95,81.84,2.64,211.3699032,7.787
2010-08-06,0,6.0,4700.38,87.16,2.627,211.5046621,7.787
2010-08-13,0,6.0,3885.01,87.0,2.692,211.6394211,7.787
2010-08-20,0,6.0,4067.35,86.65,2.664,211.6033633,7.787
2010-08-27,0,6.0,3389.29,85.22,2.619,211.5673056,7.787
2010-09-03,0,6.0,3553.75,81.21,2.577,211.5312479,7.787
2010-09-10,1,6.0,4432.69,78.69,2.565,211.4951902,7.787
